{87543ACC-4081-4DF1-8B11-7BB8F46075F8},53950,1995-11-30 00:00,NE32 4SW,S,Y,L,52,,CALF CLOSE DRIVE,JARROW,JARROW,SOUTH TYNESIDE,TYNE AND WEAR,A,A
{6B25D3AC-1167-4119-B348-A106953A518A},45495,1995-08-25 00:00,SG1 2AJ,F,Y,L,59,,PRESTATYN CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,A,A
{53550B4C-1F6E-4223-982F-B1DC521A6629},79495,1995-04-13 00:00,E3 2UR,F,Y,L,PARK WEST BUILDING,FLAT 110,FAIRFIELD ROAD,LONDON,LONDON,TOWER HAMLETS,GREATER LONDON,A,A
{2C6D7AFD-3D92-49BE-A64A-99EDB4561558},81000,1995-10-06 00:00,SE1 3HS,F,Y,L,20,,LEATHERMARKET COURT,LONDON,LONDON,SOUTHWARK,GREATER LONDON,A,A
{FFCE4DEF-CD7D-497D-827D-B56FB3BC9F08},68000,1995-05-12 00:00,CM21 9PF,F,Y,L,146,,LAWRENCE MOORINGS,SAWBRIDGEWORTH,SAWBRIDGEWORTH,EPPING FOREST,ESSEX,A,A
{924C4D53-7E7A-4827-BDC1-F1F3E2CCB2C4},101950,1995-08-04 00:00,SE1 3HS,F,Y,L,39,,LEATHERMARKET COURT,LONDON,LONDON,SOUTHWARK,GREATER LONDON,A,A
{008EC63F-1783-48B1-86ED-F90B82CD0671},230000,1995-03-28 00:00,SW1V 2DN,F,Y,L,"HERRING HOUSE, 18",FLAT 7,GLOUCESTER STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,A,A
{6068CFF1-8241-41DC-A2DC-92E4E9BBD2F8},59900,1995-06-30 00:00,NE32 4SW,S,Y,L,8,,CALF CLOSE DRIVE,JARROW,JARROW,SOUTH TYNESIDE,TYNE AND WEAR,A,A
{903B7F9B-650E-4FE8-A505-9668D1BC36F2},63895,1995-06-30 00:00,OX26 4US,T,Y,F,99,,COOPERS GREEN,BICESTER,BICESTER,CHERWELL,OXFORDSHIRE,A,A
{17E88891-8000-42A5-BB33-9D8E91C8E812},59900,1995-10-31 00:00,NE32 4SW,S,Y,L,48,,CALF CLOSE DRIVE,JARROW,JARROW,SOUTH TYNESIDE,TYNE AND WEAR,A,A
